DIM name	Reference ID	Code	Derived from	OrigSeq	PHD MajSeq	PHD MinSeq	Note
Device Interface	MDC_CC_DIF	513	Top	2			
MibElement	MDC_CC_MIB_ELEM	1025	Top	3			
Device Interface MibElement	MDC_CC_MIB_ELEM_DIF	1026	MibElement	4			
General Communication Statistics MibElement	MDC_CC_MIB_ELEM_GEN_COMM_STATS	1027	MibElement	5			
1073.3.1 Port Configuration MIB Element	MDC_CC_MIB_ELEM_1073_3_1_PORT_CFG	1028	MibElement	6			
1073.3.1 Link Access MIB Element	MDC_CC_MIB_ELEM_1073_3_1_LINK_ACC	1029	MibElement	7			
1073.3.1 Current Performance MIB Element	MDC_CC_MIB_ELEM_1073_3_1_PERF_CURR	1030	MibElement	8			
1073.3.1 Physical Configuration MIB Element	MDC_CC_MIB_ELEM_1073_3_1_CONFIG_PHYS	1031	MibElement	9			
1073.3.1 Fault Threshold MIB Element	MDC_CC_MIB_ELEM_1073_3_1_FAULT_THRES	1932	MibElement	10			
1073.3.2 Configuration MIB Element	MDC_CC_MIB_ELEM_1073_3_2_CONFIG	1033	MibElement	11			
Mib-Ext-Oid	MDC_CC_MIB_DATA_EXT_OID	2048	MibElement	12			
Dif-Id	MDC_CC_MIB_DATA_DIF_ID	2049	Device Interface MibElement	13			
Port-State	MDC_CC_MIB_DATA_DIF_PORT_ST	2050	Device Interface MibElement	14			
Dif-Type	MDC_CC_MIB_DATA_DIF_TYPE	2051	Device Interface MibElement	15			
Active-Profile	MDC_CC_MIB_DATA_PROFILE_ID	2052	Device Interface MibElement	16			
Supported-Profiles	MDC_CC_MIB_DATA_SUPP_PROFILES	2053	Device Interface MibElement	17			
MTU	MDC_CC_MIB_DATA_MTU	2054	Device Interface MibElement	18			
Link-Speed	MDC_CC_MIB_DATA_LINK_SPEED	2055	Device Interface MibElement	19			
Mib-Element-List	MDC_CC_MIB_DATA_MIB_ELEM_LIST	2056	Device Interface MibElement	20			
Packets In	MDC_CC_MIB_DATA_PACK_IN	2057	General Communication Statistics MibElement	21			
Packets Out	MDC_CC_MIB_DATA_PACK_OUT	2058	General Communication Statistics MibElement	22			
Octets In	MDC_CC_MIB_DATA_OCT_IN	2059	General Communication Statistics MibElement	23			
Octets Out	MDC_CC_MIB_DATA_OCT_OUT	2060	General Communication Statistics MibElement	24			
Discarded-Packets-In	MDC_CC_MIB_DATA_DISC_PACK_IN	2061	General Communication Statistics MibElement	25			
Discarded-Packets-Out	MDC_CC_MIB_DATA_DISC_PACK_OUT	2062	General Communication Statistics MibElement	26			
Unknown-Protocol-Packets-In	MDC_CC_MIB_DATA_UNK_PROT_PACK_IN	2063	General Communication Statistics MibElement	27			
Queue-Len-In	MDC_CC_MIB_DATA_QUEUE_LEN_IN	2064	General Communication Statistics MibElement	28			
Queue-Len-Out	MDC_CC_MIB_DATA_QUEUE_LEN_OUT	2065	General Communication Statistics MibElement	29			
Dif-Admin-Status	MDC_CC_MIB_DATA_DIF_STATE	2066	General Communication Statistics MibElement	30			
Dif-Oper-Status	MDC_CC_MIB_DATA_CUR_DIF_STATE	2067	General Communication Statistics MibElement	31			
Dif-Last-Change	MDC_CC_MIB_DATA_TIME_DIF_LAST_CHANGE	2068	General Communication Statistics MibElement	32			
Errors-In	MDC_CC_MIB_DATA_ERRS_IN	2069	General Communication Statistics MibElement	33			
Errors-Out	MDC_CC_MIB_DATA_ERRS_OUT	2070	General Communication Statistics MibElement	34			
Generic-Mode	MDC_CC_MIB_DATA_COMM_MODE	2071	General Communication Statistics MibElement	35			
Average Speed	MDC_CC_MIB_DATA_AVG_SPEED	2072	General Communication Statistics MibElement	36			
Maximum Speed	MDC_CC_MIB_DATA_MAX_SPEED	2073	General Communication Statistics MibElement	37			
Max-Tx-Length	MDC_CC_MIB_DATA_MAX_TX_LEN	2074	1073.3.1 Port Configuration MIB Element	38			
Max-Rx-Length	MDC_CC_MIB_DATA_MAX_RX_LEN	2075	1073.3.1 Port Configuration MIB Element	39			
Max-Polling-Period	MDC_CC_MIB_DATA_POLL_PERIOD	2076	1073.3.1 Port Configuration MIB Element	40			
Total-Bit-Rate-Capacity	MDC_CC_MIB_DATA_TOT_BIT_RATE	2077	1073.3.1 Port Configuration MIB Element	41			
Port-Id	MDC_CC_MIB_DATA_ID_PORT	2078	1073.3.1 Port Configuration MIB Element	42			
Link-Access-Time	MDC_CC_MIB_DATA_LINK_TIME	2079	1073.3.1 Link Access MIB Element	43			
Link-Access-Status	MDC_CC_MIB_DATA_LINK_STAT	2080	1073.3.1 Link Access MIB Element	44			
Mgt-Access-Time	MDC_CC_MIB_DATA_MGM_TIME	2081	1073.3.1 Link Access MIB Element	45			
Mgt-Access-Status	MDC_CC_MIB_DATA_MGM_STAT	2082	1073.3.1 Link Access MIB Element	46			
Frames-Sent	MDC_CC_MIB_DATA_FRAMES_SENT	2083	1073.3.1 Current Performance MIB Element	47			
Frames-Received	MDC_CC_MIB_DATA_FRAMES_RECV	2084	1073.3.1 Current Performance MIB Element	48			
U-Frames-Sent	MDC_CC_MIB_DATA_U_FRAMES_SENT	2085	1073.3.1 Current Performance MIB Element	49			
U-Frames-Received	MDC_CC_MIB_DATA_U_FRAMES_RECV	2086	1073.3.1 Current Performance MIB Element	50			
UI-Frames-Sent	MDC_CC_MIB_DATA_UI_FRAMES_SENT	2087	1073.3.1 Current Performance MIB Element	51			
UI-Frames-Received	MDC_CC_MIB_DATA_UI_FRAMES_RECV	2088	1073.3.1 Current Performance MIB Element	52			
I-Frames-Sent	MDC_CC_MIB_DATA_I_FRAMES_SENT	2089	1073.3.1 Current Performance MIB Element	53			
I-Frames-Received	MDC_CC_MIB_DATA_I_FRAMES_RECV	2090	1073.3.1 Current Performance MIB Element	54			
Data-Bytes-Sent	MDC_CC_MIB_DATA_BYTES_SENT	2091	1073.3.1 Current Performance MIB Element	55			
Data-Bytes-Received	MDC_CC_MIB_DATA_BYTES_RECV	2092	1073.3.1 Current Performance MIB Element	56			
Int-Bytes-Sent	MDC_CC_MIB_DATA_INT_BYTES_SENT	2093	1073.3.1 Current Performance MIB Element	57			
Int-Bytes-Received	MDC_CC_MIB_DATA_INT_BYTES_RECV	2094	1073.3.1 Current Performance MIB Element	58			
Frames-Out-Aborted	MDC_CC_MIB_DATA_FRAMES_OUT_ABRT	2095	1073.3.1 Current Performance MIB Element	59			
Phys-Capab	MDC_CC_MIB_DATA_PHYS_CAPAB	2096	1073.3.1 Physical Configuration MIB Element	60			
Max-Current-Rating	MDC_CC_MIB_DATA_MAX_CURRENT_RATING	2097	1073.3.1 Physical Configuration MIB Element	61			
Frames-Sent	MDC_CC_MIB_DATA_FRAMES_SENT_LIM	2098	1073.3.1 Fault Threshold MIB Element	62			
Frames-Received	MDC_CC_MIB_DATA_FRAMES_RECV_LIM	2099	1073.3.1 Fault Threshold MIB Element	63			
U-Frames-Sent	MDC_CC_MIB_DATA_U_FRAMES_SENT_LIM	2100	1073.3.1 Fault Threshold MIB Element	64			
U-Frames-Received	MDC_CC_MIB_DATA_U_FRAMES_RECV_LIM	2101	1073.3.1 Fault Threshold MIB Element	65			
UI-Frames-Sent	MDC_CC_MIB_DATA_UI_FRAMES_SENT_LIM	2102	1073.3.1 Fault Threshold MIB Element	66			
UI-Frames-Received	MDC_CC_MIB_DATA_UI_FRAMES_RECV_LIM	2103	1073.3.1 Fault Threshold MIB Element	67			
I-Frames-Sent	MDC_CC_MIB_DATA_I_FRAMES_SENT_LIM	2104	1073.3.1 Fault Threshold MIB Element	68			
I-Frames-Received	MDC_CC_MIB_DATA_I_FRAMES_RECV_LIM	2105	1073.3.1 Fault Threshold MIB Element	69			
Data-Bytes-Sent	MDC_CC_MIB_DATA_BYTES_SENT_LIM	2106	1073.3.1 Fault Threshold MIB Element	70			
Data-Bytes-Received	MDC_CC_MIB_DATA_BYTES_RECV_LIM	2107	1073.3.1 Fault Threshold MIB Element	71			
Int-Bytes-Sent	MDC_CC_MIB_DATA_INT_BYTES_SENT_LIM	2108	1073.3.1 Fault Threshold MIB Element	72			
Int-Bytes-Received	MDC_CC_MIB_DATA_INT_BYTES_RECV_LIM	2109	1073.3.1 Fault Threshold MIB Element	73			
Frames-Out-Aborted	MDC_CC_MIB_DATA_FRAMES_OUT_ABRT_LIM	2110	1073.3.1 Fault Threshold MIB Element	74			
Baud-Rate	MDC_CC_MIB_DATA_BAUD_RATE	2111	1073.3.2 Configuration MIB Element	75			
Maximum-Turn-Around Time	MDC_CC_MIB_DATA_MAX_TURN_AROUND_TIME	2112	1073.3.2 Configuration MIB Element	76			
Data-Size	MDC_CC_MIB_DATA_DATA_SIZE	2113	1073.3.2 Configuration MIB Element	77			
Window-Size	MDC_CC_MIB_DATA_WINDOW_SIZE	2114	1073.3.2 Configuration MIB Element	78			
Additional-BOF	MDC_CC_MIB_DATA_ADDIT_BOF	2115	1073.3.2 Configuration MIB Element	79			
Link disconnect time	MDC_CC_MIB_DATA_LINK_DISCON_TIME	2116	1073.3.2 Configuration MIB Element	80			
Link threshold time	MDC_CC_MIB_DATA_LINK_THRSHLD_TIME	2117	1073.3.2 Configuration MIB Element	81			
DIF-Port-Number	MDC_CC_MIB_DATA_DIF_PORT_NO	2318	1073.3.2 Configuration MIB Element	82			
Poll-Profile-Support	MDC_POLL_PROFILE_SUPPORT	1	P.1073 Association User Information Field	83			
Baseline-Profile-Support	MDC_BASELINE_PROFILE_SUPPORT	2	P.1073 Association User Information Field	84			
Pat-Demog-Opt-Pack-Agt	MDC_PT_DEMOGR_OPTION_AGT	8194	P.1073 Association User Information Field	85			
Pat-Demog-Opt-Pack-Mgr	MDC_PT_DEMOGR_OPTION_MGR	8193	P.1073 Association User Information Field	86			
Rem-Cntrl-Opt-Pack-Agt	MDC_REM_CNTRL_OPTION_AGT	8196	P.1073 Association User Information Field	87			
Rem-Cntrl-Opt-Pack-Mgr	MDC_REM_CNTRL_OPTION_MGR	8197	P.1073 Association User Information Field	88			
MedDevSpec-Std-Support	MDC_MED_DEV_SPEC_STD_SUPPORT	257	MDS and derived objects	89			
Mdib-Object-Support	MDC_MDIB_OBJ_SUPPORT	258	MDS and derived objects	90			
	MDC_DEV_SPEC_PROFILE_HYDRA	4096		91	8	3	"Used in the WAN interface for Continua and maybe PCD eventually.  MDS::MDC_ATTR_SYS_TYPE
Indicates a device that implements more than one -104xx specialization"
