DIM name	Reference ID	Code	[DerivedFm]	OrigSeq	PHD MajSeq	PHD MinSeq	Note
Top	MDC_MOC_TOP	70		2			
Class	MDC_ATTR_CLASS	2491		3			
Name-Binding	MDC_ATTR_NAME_BINDING	2510		4			
Locale	MDC_ATTR_LOCALE	2600		5			
Attribute-Update	MDC_NOTI_ATTR_UPDT	3330		6			
VMO	MDC_MOC_VMO	1		7			
VMD	MDC_MOC_VMO_VMD	2		8			
Channel	MDC_MOC_VMO_CHAN	3		9			
Metric	MDC_MOC_VMO_METRIC	4		10			
Numeric	MDC_MOC_VMO_METRIC_NU	6		11			
Sample Array	MDC_MOC_VMO_METRIC_SA	7		12			
Real Time Sample Array	MDC_MOC_VMO_METRIC_SA_RT	9		13			
Time Sample Array	MDC_MOC_VMO_METRIC_SA_T	10		14			
Distribution Sample Array	MDC_MOC_VMO_METRIC_SA_D	8		15			
Enumeration	MDC_MOC_VMO_METRIC_ENUM	5		16			
PM-Store	MDC_MOC_VMO_PMSTORE	61		17			
PM-Segment	MDC_MOC_PM_SEGMENT	62		18			
Complex Metric	MDC_MOC_VMO_METRIC_CMPLX	79		19			
Type	MDC_ATTR_ID_TYPE	2351		20			
Handle *	MDC_ATTR_ID_HANDLE	2337		21			
				22			
				23			
				24			
				25			
				26			
				27			
				28			
				29			
				30			
				31			
				32			
				33			
Label	MDC_ATTR_ID_LABEL_STRING	2343		34			
Ext-Obj-Relations *	MDC_ATTR_EXT_OBJ_RELATION	2499		35			
				36			
Vmd-Status	MDC_ATTR_VMD_STAT	2466		37			
Vmd-Model *	MDC_ATTR_ID_MODEL	2344		38			
				39			
Instance-Number *	MDC_ATTR_ID_INSTNO	2338		40			
				41			
				42			
				43			
Production-Specification *	MDC_ATTR_ID_PROD_SPECN	2349		44			
				45			
				46			
Compatibility-Id *	MDC_ATTR_ID_COMPAT	2336		47			
				48			
Parameter-Group	MDC_ATTR_ID_PARAM_GRP	2346		49			
				50			
Position	MDC_ATTR_ID_POSN	2348		51			
Operating-Hours	MDC_ATTR_TIME_PD_OP_HRS	2444		52			
Operation-Cycles	MDC_ATTR_CYC_OP	2325		53			
Measurement-Principle	MDC_ATTR_MSMT_PRINCIPLE	2560		54			
				55			
