[s]	rid
mhs:MeasurementOOA.3.1.1thru3.2.2.5-180	MDC_ATTR_GRP_VMO_DYN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-213	MDC_ATTR_GRP_VMO_DYN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-374	MDC_ATTR_GRP_VMO_DYN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-177	MDC_ATTR_GRP_VMO_STATIC
mhs:MeasurementOOA.3.1.1thru3.2.2.5-210	MDC_ATTR_GRP_VMO_STATIC
mhs:MeasurementOOA.3.1.1thru3.2.2.5-371	MDC_ATTR_GRP_VMO_STATIC
mhs:MeasurementOOA.3.1.1thru3.2.2.5-20	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-229	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-395	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-446	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-474	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-538	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-612	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-339	MDC_ATTR_ID_INSTNO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-39	MDC_ATTR_ID_INSTNO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-408	MDC_ATTR_ID_INSTNO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-613	MDC_ATTR_ID_INSTNO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-243	MDC_ATTR_ID_MODEL
mhs:MeasurementOOA.3.1.1thru3.2.2.5-37	MDC_ATTR_ID_MODEL
mhs:MeasurementOOA.3.1.1thru3.2.2.5-615	MDC_ATTR_ID_MODEL
mhs:MeasurementOOA.3.1.1thru3.2.2.5-256	MDC_ATTR_ID_PROD_SPECN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-43	MDC_ATTR_ID_PROD_SPECN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-617	MDC_ATTR_ID_PROD_SPECN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-158	MDC_ATTR_OP_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-346	MDC_ATTR_OP_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-412	MDC_ATTR_OP_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-628	MDC_ATTR_OP_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-247	MDC_ATTR_SYS_ID
mhs:MeasurementOOA.3.1.1thru3.2.2.5-487	MDC_ATTR_SYS_ID
mhs:MeasurementOOA.3.1.1thru3.2.2.5-636	MDC_ATTR_SYS_ID
mhs:MeasurementOOA.3.1.1thru3.2.2.5-356	MDC_ATTR_UNIT_CODE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-647	MDC_ATTR_UNIT_CODE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-69	MDC_ATTR_UNIT_CODE
mhs:MeasurementDimUnitsA.6.3-283	MDC_DIM_BEAT_PER_MIN
mhs:MeasurementDimUnitsA.6.3-284	MDC_DIM_BEAT_PER_MIN
mhs:MeasurementDimUnitsA.6.3-98	MDC_DIM_BEAT_PER_MIN
mhs:MeasurementDimUnitsA.6.3-251	MDC_DIM_DIMLESS
mhs:MeasurementDimUnitsA.6.3-252	MDC_DIM_DIMLESS
mhs:MeasurementDimUnitsA.6.3-253	MDC_DIM_DIMLESS
mhs:MeasurementDimUnitsA.6.3-4	MDC_DIM_DIMLESS
mhs:MeasurementDimUnitsA.6.3-273	MDC_DIM_LB
mhs:MeasurementDimUnitsA.6.3-274	MDC_DIM_LB
mhs:MeasurementDimUnitsA.6.3-275	MDC_DIM_LB
mhs:MeasurementDimUnitsA.6.3-278	MDC_DIM_MIN
mhs:MeasurementDimUnitsA.6.3-279	MDC_DIM_MIN
mhs:MeasurementDimUnitsA.6.3-81	MDC_DIM_MIN
mhs:MeasurementDimUnitsA.6.3-254	MDC_DIM_PERCENT
mhs:MeasurementDimUnitsA.6.3-255	MDC_DIM_PERCENT
mhs:MeasurementDimUnitsA.6.3-6	MDC_DIM_PERCENT
mhs:MeasurementDimUnitsA.6.3-267	MDC_DIM_X_G
mhs:MeasurementDimUnitsA.6.3-268	MDC_DIM_X_G
mhs:MeasurementDimUnitsA.6.3-269	MDC_DIM_X_G
mhs:MeasurementDimUnitsA.6.3-59	MDC_DIM_X_G
mhs:MeasurementDimUnitsA.6.3-262	MDC_DIM_X_INCH
mhs:MeasurementDimUnitsA.6.3-263	MDC_DIM_X_INCH
mhs:MeasurementDimUnitsA.6.3-35	MDC_DIM_X_INCH
mhs:MeasurementDimUnitsA.6.3-231	MDC_DIM_X_INTL_UNIT
mhs:MeasurementDimUnitsA.6.3-294	MDC_DIM_X_INTL_UNIT
mhs:MeasurementDimUnitsA.6.3-295	MDC_DIM_X_INTL_UNIT
mhs:MeasurementDimUnitsA.6.3-257	MDC_DIM_X_M
mhs:MeasurementDimUnitsA.6.3-258	MDC_DIM_X_M
mhs:MeasurementDimUnitsA.6.3-32	MDC_DIM_X_M
mhs:MeasurementMiscA.8.11.16-10	MDC_LEN_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-32	MDC_LEN_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-33	MDC_LEN_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-12	MDC_MASS_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-30	MDC_MASS_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-31	MDC_MASS_BODY_ACTUAL
