[s]	rid
mhs:MeasurementBloodA.8.5.8-0	Reference ID
mhs:MeasurementBloodA.8.5.8-113	MDC_CONC_GLU_GEN
mhs:MeasurementBloodA.8.5.8-97	MDC_CONC_GLU_GEN
mhs:MeasurementCommA.4.1thru.A.4.8-0	Reference ID
mhs:MeasurementCommA.4.1thru.A.4.8-100	MDC_DEV_SPEC_PROFILE_INSULIN_PUMP
mhs:MeasurementCommA.4.1thru.A.4.8-104	MDC_DEV_SPEC_PROFILE_HF_CARDIO
mhs:MeasurementCommA.4.1thru.A.4.8-105	MDC_DEV_SPEC_PROFILE_HF_CARDIO
mhs:MeasurementCommA.4.1thru.A.4.8-106	MDC_DEV_SPEC_PROFILE_HF_STRENGTH
mhs:MeasurementCommA.4.1thru.A.4.8-107	MDC_DEV_SPEC_PROFILE_HF_STRENGTH
mhs:MeasurementCommA.4.1thru.A.4.8-99	MDC_DEV_SPEC_PROFILE_INSULIN_PUMP
mhs:MeasurementDimUnitsA.6.3-0	Reference ID
mhs:MeasurementDimUnitsA.6.3-101	MDC_DIM_RESP_PER_MIN
mhs:MeasurementDimUnitsA.6.3-114	MDC_DIM_X_L_PER_MIN
mhs:MeasurementDimUnitsA.6.3-12	MDC_DIM_ANG_DEG
mhs:MeasurementDimUnitsA.6.3-148	MDC_DIM_MMHG
mhs:MeasurementDimUnitsA.6.3-153	MDC_DIM_X_JOULES
mhs:MeasurementDimUnitsA.6.3-156	MDC_DIM_X_WATT
mhs:MeasurementDimUnitsA.6.3-187	MDC_DIM_DEGC
mhs:MeasurementDimUnitsA.6.3-188	MDC_DIM_FAHR
mhs:MeasurementDimUnitsA.6.3-231	MDC_DIM_X_INTL_UNIT
mhs:MeasurementDimUnitsA.6.3-238	MDC_DIM_X_INTL_UNIT_PER_HR
mhs:MeasurementDimUnitsA.6.3-251	MDC_DIM_DIMLESS
mhs:MeasurementDimUnitsA.6.3-252	MDC_DIM_DIMLESS
mhs:MeasurementDimUnitsA.6.3-253	MDC_DIM_DIMLESS
mhs:MeasurementDimUnitsA.6.3-254	MDC_DIM_PERCENT
mhs:MeasurementDimUnitsA.6.3-255	MDC_DIM_PERCENT
mhs:MeasurementDimUnitsA.6.3-256	MDC_DIM_ANG_DEG
mhs:MeasurementDimUnitsA.6.3-257	MDC_DIM_X_M
mhs:MeasurementDimUnitsA.6.3-258	MDC_DIM_X_M
mhs:MeasurementDimUnitsA.6.3-260	MDC_DIM_X_FOOT
mhs:MeasurementDimUnitsA.6.3-262	MDC_DIM_X_INCH
mhs:MeasurementDimUnitsA.6.3-263	MDC_DIM_X_INCH
mhs:MeasurementDimUnitsA.6.3-264	MDC_DIM_X_L
mhs:MeasurementDimUnitsA.6.3-265	MDC_DIM_MILLI_L
mhs:MeasurementDimUnitsA.6.3-266	MDC_DIM_MILLI_L
mhs:MeasurementDimUnitsA.6.3-267	MDC_DIM_X_G
mhs:MeasurementDimUnitsA.6.3-268	MDC_DIM_X_G
mhs:MeasurementDimUnitsA.6.3-269	MDC_DIM_X_G
mhs:MeasurementDimUnitsA.6.3-271	MDC_DIM_MILLI_G
mhs:MeasurementDimUnitsA.6.3-272	MDC_DIM_MILLI_G
mhs:MeasurementDimUnitsA.6.3-273	MDC_DIM_LB
mhs:MeasurementDimUnitsA.6.3-274	MDC_DIM_LB
mhs:MeasurementDimUnitsA.6.3-275	MDC_DIM_LB
mhs:MeasurementDimUnitsA.6.3-276	MDC_DIM_KG_PER_M_SQ
mhs:MeasurementDimUnitsA.6.3-278	MDC_DIM_MIN
mhs:MeasurementDimUnitsA.6.3-279	MDC_DIM_MIN
mhs:MeasurementDimUnitsA.6.3-280	MDC_DIM_HR
mhs:MeasurementDimUnitsA.6.3-281	MDC_DIM_DAY
mhs:MeasurementDimUnitsA.6.3-282	MDC_DIM_YR
mhs:MeasurementDimUnitsA.6.3-283	MDC_DIM_BEAT_PER_MIN
mhs:MeasurementDimUnitsA.6.3-284	MDC_DIM_BEAT_PER_MIN
mhs:MeasurementDimUnitsA.6.3-285	MDC_DIM_RESP_PER_MIN
mhs:MeasurementDimUnitsA.6.3-286	MDC_DIM_X_L_PER_MIN
mhs:MeasurementDimUnitsA.6.3-288	MDC_DIM_MMHG
mhs:MeasurementDimUnitsA.6.3-289	MDC_DIM_X_JOULES
mhs:MeasurementDimUnitsA.6.3-290	MDC_DIM_X_WATT
mhs:MeasurementDimUnitsA.6.3-292	MDC_DIM_FAHR
mhs:MeasurementDimUnitsA.6.3-294	MDC_DIM_X_INTL_UNIT
mhs:MeasurementDimUnitsA.6.3-295	MDC_DIM_X_INTL_UNIT
mhs:MeasurementDimUnitsA.6.3-296	MDC_DIM_X_INTL_UNIT_PER_HR
mhs:MeasurementDimUnitsA.6.3-297	MDC_DIM_DEGC
mhs:MeasurementDimUnitsA.6.3-298	MDC_DIM_X_M_PER_MIN
mhs:MeasurementDimUnitsA.6.3-32	MDC_DIM_X_M
mhs:MeasurementDimUnitsA.6.3-34	MDC_DIM_X_FOOT
mhs:MeasurementDimUnitsA.6.3-35	MDC_DIM_X_INCH
mhs:MeasurementDimUnitsA.6.3-4	MDC_DIM_DIMLESS
mhs:MeasurementDimUnitsA.6.3-41	MDC_DIM_X_M_PER_MIN
mhs:MeasurementDimUnitsA.6.3-49	MDC_DIM_X_L
mhs:MeasurementDimUnitsA.6.3-59	MDC_DIM_X_G
mhs:MeasurementDimUnitsA.6.3-6	MDC_DIM_PERCENT
mhs:MeasurementDimUnitsA.6.3-71	MDC_DIM_KG_PER_M_SQ
mhs:MeasurementDimUnitsA.6.3-81	MDC_DIM_MIN
mhs:MeasurementDimUnitsA.6.3-82	MDC_DIM_HR
mhs:MeasurementDimUnitsA.6.3-83	MDC_DIM_DAY
mhs:MeasurementDimUnitsA.6.3-86	MDC_DIM_YR
mhs:MeasurementDimUnitsA.6.3-98	MDC_DIM_BEAT_PER_MIN
mhs:MeasurementECGEnumsA.8.2.3-0	Reference ID
mhs:MeasurementECGEnumsA.8.2.3-1	MDC_ECG_ARRHY
mhs:MeasurementECGEnumsA.8.2.3-20	MDC_ECG_MULTIFORM
mhs:MeasurementECGEnumsA.8.2.3-38	MDC_ECG_MULTIFORM
mhs:MeasurementECGEnumsA.8.2.3-6	MDC_ECG_ARRHY
mhs:MeasurementECGLeadsA.7.1.1-0	Reference ID
mhs:MeasurementECGMsmtsA.7.1.2-0	Reference ID
mhs:MeasurementECGMsmtsA.7.1.2-31	MDC_ECG_TIME_END_QRS
mhs:MeasurementECGMsmtsA.7.1.2-41	MDC_ECG_TIME_END_QRS
mhs:MeasurementECGMsmtsA.7.1.2-53	MDC_ECG_ELEC_POTL
mhs:MeasurementECGMsmtsA.7.1.2-73	MDC_ECG_ELEC_POTL
mhs:MeasurementEventDevA.10.3.2-0	Reference ID
mhs:MeasurementEventDevA.10.3.2-126	MDC_EVT_ADVIS_PUMP_SYRINGE_REPLACE_IMMED
mhs:MeasurementEventDevA.10.3.2-154	MDC_EVT_ADVIS_PUMP_SYRINGE_REPLACE_IMMED
mhs:MeasurementEventPattA.10.2.1-0	Reference ID
mhs:MeasurementFluidOutA.8.6.9-0	Reference ID
mhs:MeasurementFluidOutA.8.6.9-1	MDC_FLOW_FLUID_DRAIN_PREV_HR
mhs:MeasurementFluidOutA.8.6.9-4	MDC_FLOW_FLUID_DRAIN_PREV_HR
mhs:MeasurementHemoA.8.3.4-0	Reference ID
mhs:MeasurementHemoA.8.3.4-123	MDC_PULS_RATE_NON_INV
mhs:MeasurementHemoA.8.3.4-149	MDC_PULS_RATE_NON_INV
mhs:MeasurementHemoA.8.3.4-151	MDC_PRESS_BLD_NONINV_SYS
mhs:MeasurementHemoA.8.3.4-152	MDC_PRESS_BLD_NONINV_DIA
mhs:MeasurementHemoA.8.3.4-153	MDC_PRESS_BLD_NONINV_MEAN
mhs:MeasurementHemoA.8.3.4-49	MDC_PRESS_BLD_CORON_ART_R_POST_DESCEND_DIA
mhs:MeasurementHemoA.8.3.4-59	MDC_PRESS_BLD_CORON_ART_R_POST_DESCEND_DIA
mhs:MeasurementHemoA.8.3.4-90	MDC_PRESS_BLD_NONINV_DIA
mhs:MeasurementHemoA.8.3.4-91	MDC_PRESS_BLD_NONINV_MEAN
mhs:MeasurementHemoA.8.3.4-99	MDC_PRESS_BLD_NONINV_SYS
mhs:MeasurementMedDevsA.5.1-0	Reference ID
mhs:MeasurementMiscA.8.11.16-0	Reference ID
mhs:MeasurementMiscA.8.11.16-10	MDC_LEN_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-12	MDC_MASS_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-15	MDC_TEMP_EAR
mhs:MeasurementMiscA.8.11.16-16	MDC_TEMP_FINGER
mhs:MeasurementMiscA.8.11.16-17	MDC_TEMP_ORAL
mhs:MeasurementMiscA.8.11.16-18	MDC_TEMP_RECT
mhs:MeasurementMiscA.8.11.16-21	MDC_TEMP_TOE
mhs:MeasurementMiscA.8.11.16-23	MDC_TEMP_RECT
mhs:MeasurementMiscA.8.11.16-24	MDC_TEMP_ORAL
mhs:MeasurementMiscA.8.11.16-25	MDC_TEMP_EAR
mhs:MeasurementMiscA.8.11.16-26	MDC_TEMP_FINGER
mhs:MeasurementMiscA.8.11.16-27	MDC_TEMP_TOE
mhs:MeasurementMiscA.8.11.16-30	MDC_MASS_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-31	MDC_MASS_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-32	MDC_LEN_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-33	MDC_LEN_BODY_ACTUAL
mhs:MeasurementMiscA.8.11.16-34	MDC_BODY_FAT
mhs:MeasurementMiscA.8.11.16-35	MDC_BODY_FAT
mhs:MeasurementNeuroEnumA.8.9.14-0	Reference ID
mhs:MeasurementNeuroEnumA.8.9.14-63	MDC_EEG_EXT_CRTX_EYE_MVMT_NYSTAG_MULT
mhs:MeasurementNeuroEnumA.8.9.14-64	MDC_EEG_EXT_CRTX_EYE_MVMT_NYSTAG_MULT
mhs:MeasurementNeuroMsmtA.8.8.13-0	Reference ID
mhs:MeasurementNeuroStimA.8.10.15-0	Reference ID
mhs:MeasurementNomenExtA.11.3.1-0	Reference ID
mhs:MeasurementOOA.3.1.1thru3.2.2.5-0	Reference ID
mhs:MeasurementOOA.3.1.1thru3.2.2.5-10	MDC_MOC_VMO_METRIC_NU
mhs:MeasurementOOA.3.1.1thru3.2.2.5-100	MDC_ATTR_TIME_STAMP_REL
mhs:MeasurementOOA.3.1.1thru3.2.2.5-104	MDC_ATTR_TIME_STAMP_REL_HI_RES
mhs:MeasurementOOA.3.1.1thru3.2.2.5-112	MDC_ATTR_NU_ACCUR_MSMT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-115	MDC_ATTR_SA_SPECN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-12	MDC_MOC_VMO_METRIC_SA_RT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-122	MDC_ATTR_SCALE_SPECN_I8
mhs:MeasurementOOA.3.1.1thru3.2.2.5-123	MDC_ATTR_SCALE_SPECN_I16
mhs:MeasurementOOA.3.1.1thru3.2.2.5-124	MDC_ATTR_SCALE_SPECN_I32
mhs:MeasurementOOA.3.1.1thru3.2.2.5-138	MDC_ATTR_TIME_PD_SAMP
mhs:MeasurementOOA.3.1.1thru3.2.2.5-147	MDC_ATTR_VAL_ENUM_OBS
mhs:MeasurementOOA.3.1.1thru3.2.2.5-15	MDC_MOC_VMO_METRIC_ENUM
mhs:MeasurementOOA.3.1.1thru3.2.2.5-154	MDC_ATTR_METRIC_STORE_SAMPLE_ALG
mhs:MeasurementOOA.3.1.1thru3.2.2.5-156	MDC_ATTR_METRIC_STORE_CAPAC_CNT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-157	MDC_ATTR_METRIC_STORE_USAGE_CNT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-158	MDC_ATTR_OP_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-16	MDC_MOC_VMO_PMSTORE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-161	MDC_ATTR_NUM_SEG
mhs:MeasurementOOA.3.1.1thru3.2.2.5-163	MDC_ATTR_TIME_START_SEG
mhs:MeasurementOOA.3.1.1thru3.2.2.5-164	MDC_ATTR_TIME_END_SEG
mhs:MeasurementOOA.3.1.1thru3.2.2.5-165	MDC_ATTR_SEG_USAGE_CNT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-17	MDC_MOC_PM_SEGMENT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-177	MDC_ATTR_GRP_VMO_STATIC
mhs:MeasurementOOA.3.1.1thru3.2.2.5-180	MDC_ATTR_GRP_VMO_DYN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-183	MDC_ATTR_GRP_RELATION
mhs:MeasurementOOA.3.1.1thru3.2.2.5-189	MDC_ACT_SEG_CLR
